id_municipio;municipio
577;CURVELO
578;CASTANHAL
579;IPIXUNA DO PARA
580;CONQUISTA
581;PILAR
582;ITAPIRA
583;PIUMHI
584;LAPAO
585;ARUJA
586;TRES PASSOS
587;NOVO GAMA
588;CAMETA
589;ORTIGUEIRA
590;SAO MATEUS
591;BRASILEIA
592;CRUZILIA
593;CAMPO NOVO DE RONDONIA
594;NOSSA SENHORA DO LIVRAMENTO
595;PALHOCA
596;ARAUA
597;CABECEIRA GRANDE
598;PONTO NOVO
599;LAURO DE FREITAS
600;SENHOR DO BONFIM
601;SAO CAETANO DO SUL
602;TEOLANDIA
603;CATU
604;ANDRADAS
605;ITAPICURU
606;SANTA TERESA
607;GUARAPARI
608;MUQUI
609;MUNIZ FREIRE
610;CASTELO
611;MIRINZAL
612;NOVO HORIZONTE DO OESTE
613;"""SANTA LUZIA D""""OESTE"""
614;RAUL SOARES
615;GUARAQUECABA
616;SIQUEIRA CAMPOS
617;TAIO
618;UBAIRA
619;MILAGRES
620;HONORIO SERPA
621;DOMINGOS MARTINS
622;ITABIRA
623;FRANCA
624;OURO BRANCO
625;ARRAIAL
626;FORMOSA DO RIO PRETO
627;LUCAS DO RIO VERDE
628;MARILIA
629;MARINGA
630;PETROLINA
631;DELMIRO GOUVEIA
632;VARGINHA
633;TIMON
634;JARINU
635;BREVES
636;CACADOR
637;CAMPOS DOS GOYTACAZES
638;MESQUITA
639;CAMPO VERDE
640;GARUVA
641;NOSSA SENHORA DO SOCORRO
642;CAMPO MAGRO
643;CONDEUBA
644;BARRA DOS COQUEIROS
645;SANTO ANTONIO DO JACINTO
646;CACERES
647;BOA VIAGEM
648;VINHEDO
649;SURUBIM
650;ARCOVERDE
651;VALINHOS
652;BARREIRAS
653;CAMAQUA
654;GUAIBA
655;SAO GABRIEL DA PALHA
656;IBARAMA
657;MONTENEGRO
658;MARECHAL DEODORO
659;IPORA
660;ALMIRANTE TAMANDARE
661;COLORADO DO OESTE
662;CORUMBIARA
663;SAO JOSE DO NORTE
664;TAPES
665;LADARIO
666;CORUMBA
667;SAO GONCALO DOS CAMPOS
668;CONCEICAO DO JACUIPE
669;SERRINHA
670;PLANALTINA
671;JAPERI
672;NOVA IGUACU
673;CRIXAS DO TOCANTINS
674;PORTO NACIONAL
675;TURILANDIA
676;MUANA
677;SAO JOSE
678;CORRENTE
679;SANTO ANTONIO DO SUDOESTE
680;JEQUITINHONHA
681;MEDIANEIRA
682;CARAI
683;SAO MIGUEL DOS CAMPOS
684;LARANJEIRAS
685;FLORESTA
686;BREJO DA MADRE DE DEUS
687;MAE DO RIO
688;VISEU
689;ABAETETUBA
690;SOURE
691;CAMARAGIBE
692;QUIXERAMOBIM
693;POMPEU
694;PEDRO CANARIO
695;COLATINA
696;MIMOSO DO SUL
697;LAJEADO
698;IBATIBA
699;MANHUMIRIM
700;ARACI
701;CANDEAL
702;AFONSO CLAUDIO
703;PIEN
704;SAO ROMAO
705;VENANCIO AIRES
706;JUARA
707;LIMEIRA
708;OURICURI
709;MARICA
710;BRAGANCA PAULISTA
711;CACHOEIRO DE ITAPEMIRIM
712;MARILANDIA
713;JABOTICABA
714;SANTA MARGARIDA
715;IBIRATAIA
716;TABULEIRO DO NORTE
717;PALHANO
718;ITUPEVA
719;ANGATUBA
720;SAO PEDRO DOS FERROS
721;SAO CAITANO
722;PONTA GROSSA
723;AREADO
724;SORRISO
725;TRIUNFO
726;TOLEDO
727;LAGO VERDE
728;MATO VERDE
729;MONTE AZUL
730;ICATU
731;IGARAPE
732;JACAREI
733;CATOLE DO ROCHA
734;PALMACIA
735;GAMELEIRAS
736;SAO JORGE DO PATROCINIO
737;CANTAGALO
738;MORADA NOVA
739;SANTA BARBARA D`OESTE
740;CANOAS
741;UPANEMA
742;MOSSORO
743;RIO POMBA
744;NOVA ESPERANCA DO SUDOESTE
745;URUARA
746;PASSO FUNDO
747;LONDRINA
748;SERINGUEIRAS
749;MARAU
750;CASEIROS
751;CORNELIO PROCOPIO
752;URAI
753;CHAPADAO DO LAGEADO
754;CASSIA
755;PENDENCIAS
756;ROLANDIA
757;POMBAL
758;PACAJUS
759;CERRO BRANCO
760;MINACU
761;CAPARAO
762;BANDEIRANTES
763;CAMPINA GRANDE DO SUL
764;ALAGOINHAS
765;TEOFILO OTONI
766;ITAOBIM
767;FRANCISCO MORATO
768;ILHEUS
769;FORMIGA
770;SAO SEBASTIAO DO PASSE
771;JAGUAQUARA
772;SAO FRANCISCO
773;MAIRIPORA
774;ARAUCARIA
775;TURMALINA
776;COTEGIPE
777;COCOS
778;MONTALVANIA
779;SAO JOAO DAS DUAS PONTES
780;FLOREAL
781;GENERAL SALGADO
782;APARECIDA DO TABOADO
783;RUY BARBOSA
784;VEREDINHA
785;TARUMA
786;ASSAI
787;SAO SEBASTIAO DA AMOREIRA
788;BARBALHA
789;EUCLIDES DA CUNHA
